n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
33,4,5,6,2,52,1.373772144317627,458,0.1210629940032959,7,0.9384012222290039
33,5,5,7,2,48,1.3823268413543701,387,0.11192679405212402,18,0.16188883781433105
33,6,5,8,2,46,1.460292100906372,381,0.11520028114318848,8,0.11126828193664551
33,7,5,9,2,76,2.1516191959381104,1231,0.3607473373413086,116,2.327456474304199
33,8,5,10,2,74,2.0475645065307617,986,0.25376176834106445,154,8.196088552474976
34,1,5,3,2,30,0.8555152416229248,162,0.05449724197387695,7,0.029960155487060547
34,2,5,4,2,51,1.1393733024597168,439,0.13501739501953125,14,0.08518385887145996
34,3,5,5,2,47,1.2118399143218994,352,0.10072445869445801,18,0.3035547733306885
34,4,5,6,2,62,1.5219547748565674,590,0.15715622901916504,72,4.3804030418396
34,5,5,7,2,58,1.5492980480194092,559,0.163344144821167,14,0.44169163703918457
34,6,5,8,2,69,1.9426190853118896,866,0.250640869140625,258,5.998322248458862
34,7,5,9,2,88,2.2100443840026855,1546,0.40891146659851074,635,36.044981241226196
34,8,5,10,2,49,1.5369110107421875,423,0.11395406723022461,32,0.41043543815612793
35,1,5,3,2,48,1.0970451831817627,277,0.08614563941955566,11,0.3185548782348633
35,2,5,4,2,42,1.052825689315796,284,0.08347725868225098,7,0.07439184188842773
35,3,5,5,2,63,1.373631238937378,742,0.19721364974975586,90,4.317259788513184
35,4,5,6,2,32,1.0793230533599854,210,0.0674598217010498,8,0.13753533363342285
35,5,5,7,2,60,1.553128957748413,534,0.1560502052307129,36,0.9295153617858887
35,6,5,8,2,93,2.2881510257720947,1581,0.3842461109161377,312,8.86236834526062
35,7,5,9,2,75,2.328779697418213,914,0.2520604133605957,254,10.035234928131104
35,8,5,10,2,104,2.9653306007385254,1872,0.46121931076049805,852,4.1694769859313965
36,1,5,3,2,36,0.9845936298370361,238,0.07279706001281738,10,0.06543445587158203
36,2,5,4,2,43,1.1058692932128906,388,0.10349392890930176,46,0.6580097675323486
36,3,5,5,2,46,1.37485933303833,385,0.09766054153442383,85,0.4010446071624756
36,4,5,6,2,52,1.392690896987915,499,0.12746000289916992,42,0.5363013744354248
36,5,5,7,2,66,1.5889203548431396,642,0.16093850135803223,52,1.0302941799163818
36,6,5,8,2,49,1.6084115505218506,423,0.1239633560180664,37,0.2517380714416504
36,7,5,9,2,74,2.129319667816162,925,0.2523775100708008,56,1.9212982654571533
36,8,5,10,2,79,2.565521001815796,1127,0.27959394454956055,232,25.77531671524048
37,1,5,3,2,29,0.8688340187072754,149,0.05522871017456055,6,0.04564785957336426
37,2,5,4,2,40,1.1079025268554688,299,0.08649301528930664,10,0.15845727920532227
37,3,5,5,2,52,1.382694959640503,436,0.11888742446899414,38,0.8551263809204102
37,4,5,6,2,48,1.406078815460205,365,0.12758874893188477,3,0.16513872146606445
37,5,5,7,2,70,1.688262701034546,724,0.21224212646484375,46,1.019256591796875
37,6,5,8,2,56,1.489119291305542,540,0.14727187156677246,69,1.6637961864471436
37,7,5,9,2,46,1.8063547611236572,367,0.1046302318572998,42,0.3026440143585205
37,8,5,10,2,64,1.9676973819732666,571,0.14471960067749023,56,1.4899137020111084
38,1,5,3,2,43,0.8977205753326416,333,0.08772063255310059,31,0.2175004482269287
38,2,5,4,2,40,1.1369516849517822,298,0.08470273017883301,20,0.3583371639251709
38,3,5,5,2,59,1.3385436534881592,644,0.1716139316558838,42,1.0368046760559082
38,4,5,6,2,39,1.1264595985412598,253,0.08294248580932617,8,0.10838103294372559
38,5,5,7,2,45,1.3736236095428467,350,0.09966516494750977,6,0.3655576705932617
38,6,5,8,2,35,1.2006051540374756,253,0.07826066017150879,32,0.11860442161560059
38,7,5,9,2,53,1.8827049732208252,401,0.13660955429077148,16,0.4601566791534424
38,8,5,10,2,85,2.5046226978302,1328,0.38611721992492676,164,6.593258857727051
39,1,5,3,2,34,0.8940451145172119,200,0.06469130516052246,5,0.1381392478942871
39,2,5,4,2,34,1.0039455890655518,210,0.06801080703735352,5,0.07967734336853027
39,3,5,5,2,69,1.4729642868041992,858,0.23537659645080566,140,8.67773151397705
39,4,5,6,2,45,1.2084264755249023,309,0.10585951805114746,8,0.05930042266845703
39,5,5,7,2,57,1.554258108139038,466,0.16141939163208008,20,1.527770757675171
39,6,5,8,2,42,1.4089899063110352,303,0.09257006645202637,12,0.27005434036254883
39,7,5,9,2,74,2.0996439456939697,828,0.20462799072265625,160,7.1807966232299805
39,8,5,10,2,83,2.4373676776885986,1134,0.3028736114501953,188,4.837456941604614
